"ログイン名","ユーザー名","日付","出社時刻","退社時刻","外出時刻","復帰時刻","備考"
"B00000","myName","2013年12月01日（日）","","","","",""
"B00000","myName","2013年12月02日（月）","09:54","20:50","","",""
"B00000","myName","2013年12月03日（火）","10:00","23:18","","",""
"B00000","myName","2013年12月04日（水）","10:00","22:55","","",""
"B00000","myName","2013年12月05日（木）","09:56","23:12","","",""
"B00000","myName","2013年12月06日（金）","09:56","23:00","","",""
"B00000","myName","2013年12月07日（土）","","","","",""
"B00000","myName","2013年12月08日（日）","","","","",""
"B00000","myName","2013年12月09日（月）","10:15","23:33","","",""
"B00000","myName","2013年12月10日（火）","10:14","23:18","","",""
"B00000","myName","2013年12月11日（水）","10:13","23:50","","",""
"B00000","myName","2013年12月12日（木）","09:59","23:33","","",""
"B00000","myName","2013年12月13日（金）","09:58","23:58","","",""
"B00000","myName","2013年12月14日（土）","","","","",""
"B00000","myName","2013年12月15日（日）","","","","",""
"B00000","myName","2013年12月16日（月）","09:56","23:55","","",""
"B00000","myName","2013年12月17日（火）","12:22","23:24","","",""
"B00000","myName","2013年12月18日（水）","10:11","19:17","","",""
"B00000","myName","2013年12月19日（木）","10:00","23:31","","",""
"B00000","myName","2013年12月20日（金）","10:14","19:16","","","忘年会 22:00まで 23:45"
"B00000","myName","2013年12月21日（土）","","","","",""
"B00000","myName","2013年12月22日（日）","","","","",""
"B00000","myName","2013年12月23日（月）","","","","",""
"B00000","myName","2013年12月24日（火）","09:53","22:26","","",""
"B00000","myName","2013年12月25日（水）","10:40","19:33","","",""
"B00000","myName","2013年12月26日（木）","09:59","22:33","","",""
"B00000","myName","2013年12月27日（金）","10:02","21:02","","",""
"B00000","myName","2013年12月28日（土）","","","","",""
"B00000","myName","2013年12月29日（日）","","","","",""
"B00000","myName","2013年12月30日（月）","","","","",""
"B00000","myName","2013年12月31日（火）","","","","",""
